# parent,name,u,v,mirror,x,y,z,dx,dy,dz,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
leftArm,ShoulderplateL2,94,45,true,2.5f,1.5f,-3.5f,1,3,7,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
leftArm,ShoulderplateL3,94,45,true,1.5f,3.5f,-3.5f,1,3,7,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
rightLeg,LegpanelR1,0,51,false,-1.0f,0.5f,-3.5f,3,4,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,LegpanelR2,8,51,false,-1.0f,3.5f,-2.5f,3,4,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,LegpanelR3,0,56,false,-1.0f,6.5f,-1.5f,3,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,LegpanelR4,0,43,false,-3.0f,0.5f,-3.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,LegpanelR5,0,47,false,-3.0f,2.5f,-2.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,LegpanelR6,6,43,false,-3.0f,4.5f,-1.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
rightLeg,SidepanelR1,0,22,false,-2.5f,0.5f,-2.5f,1,4,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightLeg,SidepanelR2,0,31,false,-1.5f,3.5f,-2.5f,1,3,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightLeg,SidepanelR3,12,31,false,-0.5f,5.5f,-2.5f,1,3,5,0.0f,0.0f,0.0f,0.0f,0.0f,0.4363323f
rightLeg,BackpanelR1,0,18,false,-3.0f,0.5f,2.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
rightLeg,BackpanelR2,0,18,false,-3.0f,2.5f,1.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
rightLeg,BackpanelR3,0,18,false,-3.0f,4.5f,0.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
leftLeg,BackpanelL3,0,18,true,-2.0f,4.5f,0.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
leftLeg,LegpanelL1,0,51,true,-2.0f,0.5f,-3.5f,3,4,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,LegpanelL2,8,51,true,-2.0f,3.5f,-2.5f,3,4,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,LegpanelL3,0,56,true,-2.0f,6.5f,-1.5f,3,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,LegpanelL4,0,43,true,1.0f,0.5f,-3.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,LegpanelL5,0,47,true,1.0f,2.5f,-2.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,LegpanelL6,6,43,true,1.0f,4.5f,-1.5f,2,3,1,0.0f,0.0f,0.0f,-0.4363323f,0.0f,0.0f
leftLeg,SidepanelL1,0,22,true,1.5f,0.5f,-2.5f,1,4,5,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
leftLeg,SidepanelL2,0,31,true,0.5f,3.5f,-2.5f,1,3,5,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
leftLeg,SidepanelL3,12,31,true,-0.5f,5.5f,-2.5f,1,3,5,0.0f,0.0f,0.0f,0.0f,0.0f,-0.4363323f
leftLeg,BackpanelL1,0,18,true,-2.0f,0.5f,2.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
leftLeg,BackpanelL2,0,18,true,-2.0f,2.5f,1.5f,5,3,1,0.0f,0.0f,0.0f,0.4363323f,0.0f,0.0f
head,Mask0,52,2,false,-4.5f,-5.0f,-4.6f,9,5,1,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
head,Mask1,76,2,false,-4.5f,-5.0f,-4.6f,9,5,1,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
head,Mask2,100,2,false,-4.5f,-5.0f,-4.6f,9,5,1,0.0f,0.0f,0.0f,0.0f,0.0f,0.0f
