# Exact cuboids/UV/pivots/rotations converted from the corresponding TC4 ModelBiped armor.
# parent,name,u,v,mirror,x,y,z,width,height,depth,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
rightArm,shoulderplatetopr,56,25,false,-5.5F,-2.5F,-3.5F,2,1,7,0.0F,0.0F,0.0F,0.0F,0.0F,0.4363323F
rightArm,rarm1,88,39,false,-3.5F,2.5F,-2.5F,5,7,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,rarm2,76,32,false,-3.0F,5.5F,2.5F,4,4,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
rightArm,rarm3,88,32,false,-2.5F,3.5F,2.5F,3,2,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,shoulderplatel1,56,33,false,3.5F,-1.5F,-3.5F,1,4,7,0.0F,0.0F,0.0F,0.0F,0.0F,-0.4363323F
leftArm,shoulderplatel2,40,33,false,2.5F,1.5F,-3.5F,1,3,7,0.0F,0.0F,0.0F,0.0F,0.0F,-0.4363323F
leftArm,shoulderplatel3,40,33,false,1.5F,3.5F,-3.5F,1,3,7,0.0F,0.0F,0.0F,0.0F,0.0F,-0.4363323F
leftArm,shoulderplatetopl,56,25,false,3.5F,-2.5F,-3.5F,2,1,7,0.0F,0.0F,0.0F,0.0F,0.0F,-0.4363323F
rightArm,shoulderr,16,45,true,-3.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,larm1,88,39,true,-1.5F,2.5F,-2.5F,5,7,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,larm2,76,32,false,-1.0F,5.5F,2.5F,4,4,2,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,larm3,88,32,false,-0.5F,3.5F,2.5F,3,2,1,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
leftArm,shoulderl,16,45,true,-1.5F,-2.5F,-2.5F,5,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.0F
body,frontclothr1,108,38,false,0.0F,0.0F,0.0F,3,8,1,-3.0F,11.0F,-2.9F,-0.1047198F,0.0F,0.0F
body,frontclothr2,108,47,false,0.0F,7.5F,1.7F,3,3,1,-3.0F,11.0F,-2.9F,-0.3316126F,0.0F,0.0F
body,frontclothl1,108,38,true,0.0F,0.0F,0.0F,3,8,1,0.0F,11.0F,-2.9F,-0.1047198F,0.0F,0.0F
body,frontclothl2,108,47,true,0.0F,7.5F,1.7F,3,3,1,0.0F,11.0F,-2.9F,-0.3316126F,0.0F,0.0F
body,clothbackr1,118,16,true,0.0F,0.0F,0.0F,4,8,1,-4.0F,11.5F,2.9F,0.1047198F,0.0F,0.0F
body,clothbackr2,123,9,false,0.0F,7.8F,-0.9F,1,2,1,-4.0F,11.5F,2.9F,0.2268928F,0.0F,0.0F
body,clothbackr3,120,12,true,1.0F,7.8F,-0.9F,3,3,1,-4.0F,11.5F,2.9F,0.2268928F,0.0F,0.0F
body,clothbackl1,118,16,false,0.0F,0.0F,0.0F,4,8,1,0.0F,11.5F,2.9F,0.1047198F,0.0F,0.0F
body,clothbackl2,123,9,true,3.0F,7.8F,-0.9F,1,2,1,0.0F,11.5F,2.9F,0.2268928F,0.0F,0.0F
body,clothbackl3,120,12,false,0.0F,7.8F,-0.9F,3,3,1,0.0F,11.5F,2.9F,0.2268928F,0.0F,0.0F
leftLeg,sideclothl2,116,34,false,0.5F,5.5F,-2.5F,1,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.296706F
rightLeg,sideclothr1,116,42,false,-2.5F,0.5F,-2.5F,1,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.122173F
rightLeg,sideclothr2,116,34,false,-1.5F,5.5F,-2.5F,1,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.296706F
rightLeg,sideclothr3,116,1,false,0.4F,8.4F,-2.5F,1,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.5235988F
rightLeg,sidepanelr1,116,25,true,-2.5F,0.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,0.4363323F
rightLeg,legpanelr6,82,38,false,-3.0F,4.5F,-1.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
rightLeg,legpanelr5,76,42,false,-3.0F,2.5F,-2.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
rightLeg,legpanelr4,76,38,false,-3.0F,0.5F,-3.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
leftLeg,sideclothl3,116,1,false,-1.4F,8.4F,-2.5F,1,3,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.5235988F
leftLeg,focipouch,100,20,false,3.5F,0.5F,-2.5F,3,6,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.122173F
leftLeg,sideclothl1,116,42,false,1.5F,0.5F,-2.5F,1,5,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.122173F
leftLeg,legpanell4,76,38,true,1.0F,0.5F,-3.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
leftLeg,legpanell5,76,42,true,1.0F,2.5F,-2.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
leftLeg,legpanell6,82,38,true,1.0F,4.5F,-1.5F,2,3,1,0.0F,0.0F,0.0F,-0.4363323F,0.0F,0.0F
leftLeg,sidepanell1,116,25,false,1.5F,0.5F,-2.5F,1,4,5,0.0F,0.0F,0.0F,0.0F,0.0F,-0.4363323F
