# variant,parent,name,u,v,mirror,x,y,z,dx,dy,dz,pivotX,pivotY,pivotZ,rotX,rotY,rotZ
both,leftArm,shoulder_plate_top,56,25,false,3.5,-2.5,-3.5,2,1,7,0,0,0,0,0,-0.4363323
both,leftArm,shoulder_plate_1,56,33,false,3.5,-1.5,-3.5,1,4,7,0,0,0,0,0,-0.4363323
both,leftArm,shoulder_plate_2,40,33,false,2.5,1.5,-3.5,1,3,7,0,0,0,0,0,-0.4363323
both,leftArm,shoulder_plate_3,40,33,false,1.5,3.5,-3.5,1,3,7,0,0,0,0,0,-0.4363323
inner,body,front_cloth_r1,108,38,false,0.0,0.0,0.0,3,8,1,-3.0,11.0,-2.9,-0.1047198,0,0
inner,body,front_cloth_r2,108,47,false,0.0,7.5,1.7,3,3,1,-3.0,11.0,-2.9,-0.3316126,0,0
inner,body,front_cloth_l1,108,38,true,0.0,0.0,0.0,3,8,1,0.0,11.0,-2.9,-0.1047198,0,0
inner,body,front_cloth_l2,108,47,true,0.0,7.5,1.7,3,3,1,0.0,11.0,-2.9,-0.3316126,0,0
inner,body,cloth_back_r1,118,16,true,0.0,0.0,0.0,4,8,1,-4.0,11.5,2.9,0.1047198,0,0
inner,body,cloth_back_r2,123,9,false,0.0,7.8,-0.9,1,2,1,-4.0,11.5,2.9,0.2268928,0,0
inner,body,cloth_back_r3,120,12,true,1.0,7.8,-0.9,3,3,1,-4.0,11.5,2.9,0.2268928,0,0
inner,body,cloth_back_l1,118,16,false,0.0,0.0,0.0,4,8,1,0.0,11.5,2.9,0.1047198,0,0
inner,body,cloth_back_l2,123,9,true,3.0,7.8,-0.9,1,2,1,0.0,11.5,2.9,0.2268928,0,0
inner,body,cloth_back_l3,120,12,false,0.0,7.8,-0.9,3,3,1,0.0,11.5,2.9,0.2268928,0,0
both,rightLeg,leg_panel_4,76,38,false,-3.0,0.5,-3.5,2,3,1,0,0,0,-0.4363323,0,0
both,rightLeg,leg_panel_5,76,42,false,-3.0,2.5,-2.5,2,3,1,0,0,0,-0.4363323,0,0
both,rightLeg,leg_panel_6,82,38,false,-3.0,4.5,-1.5,2,3,1,0,0,0,-0.4363323,0,0
both,rightLeg,side_panel_1,116,25,true,-2.5,0.5,-2.5,1,4,5,0,0,0,0,0,0.4363323
both,rightLeg,side_cloth_1,116,42,false,-2.5,0.5,-2.5,1,5,5,0,0,0,0,0,0.122173
both,rightLeg,side_cloth_2,116,34,false,-1.5,5.5,-2.5,1,3,5,0,0,0,0,0,0.296706
both,rightLeg,side_cloth_3,116,1,false,0.4,8.4,-2.5,1,3,5,0,0,0,0,0,0.5235988
both,leftLeg,leg_panel_4,76,38,true,1.0,0.5,-3.5,2,3,1,0,0,0,-0.4363323,0,0
both,leftLeg,leg_panel_5,76,42,true,1.0,2.5,-2.5,2,3,1,0,0,0,-0.4363323,0,0
both,leftLeg,leg_panel_6,82,38,true,1.0,4.5,-1.5,2,3,1,0,0,0,-0.4363323,0,0
both,leftLeg,side_panel_1,116,25,false,1.5,0.5,-2.5,1,4,5,0,0,0,0,0,-0.4363323
both,leftLeg,side_cloth_1,116,42,false,1.5,0.5,-2.5,1,5,5,0,0,0,0,0,-0.122173
both,leftLeg,side_cloth_2,116,34,false,0.5,5.5,-2.5,1,3,5,0,0,0,0,0,-0.296706
both,leftLeg,side_cloth_3,116,1,false,-1.4,8.4,-2.5,1,3,5,0,0,0,0,0,-0.5235988
inner,leftLeg,focus_pouch,100,20,false,3.5,0.5,-2.5,3,6,5,0,0,0,0,0,-0.122173
